transaction_id,kristal_subscription_goal_id
119042,2023
384144,78984
677920,3073888
727342,3074000
718735,3074001
684792,3074001
677923,3074001
696608,3074001
682397,
685091,
720479,
684427,
687997,
726386,
721242,
726690,
726691,
491563,
491556,
165975,
