transaction_id,kristal_subscription_goal_id
712066,3080736
712075,3080742
712069,3080738
712072,3080740
632567,2301376
632537,2301246
460758,132181
460266,131713
496521,172175
496504,172158
496496,172150
496552,172207
181416,9538
182206,9757
668236,2940096
668235,2940095
132824,2747
132820,2743
159246,4919
668212,2940072
668201,2940061
132819,2742
132823,2746
132821,2744
132825,2748
