transaction_id,goal_id,kristal_id,asset_id
712066,3080736,2880,1269016
712075,3080742,2880,1269016
712069,3080738,2880,1269016
712072,3080740,2880,1269016
632567,2301376,2988,1270394
632537,2301246,2988,1270394
460758,132181,2205,1224590
460266,131713,2205,1224590
496521,172175,2560,1263198
496504,172158,2560,1263198
496496,172150,2560,1263198
496552,172207,2560,1263198
181416,9538,2350,1247440
182206,9757,2350,1247440
668236,2940096,3626,1277694
668235,2940095,3626,1277694
132824,2747,2211,1225457
132820,2743,2211,1225457
159246,4919,2353,1229622
668212,2940072,3626,1277694
668201,2940061,3626,1277694
132819,2742,2211,1225457
132823,2746,2211,1225457
132821,2744,2211,1225457
132825,2748,2211,1225457
