kristal_subscription_id,skey,fund_id,fkey
13642.0,0|12267|1264387,,
15216.0,0|12267|1264405,,
15480.0,0|12267|1266102,,
15482.0,0|12267|1266103,,
17532.0,0|12267|1266119,,
17962.0,0|12267|1266124,,
29293.0,0|12267|1268723,,
22950.0,0|12267|1269015,,
31003.0,0|12267|1271154,,
38186.0,0|12267|1276546,,
7068.0,0|12284|1225457,,
33573.0,0|12284|1244852,,
34604.0,0|12517|1247440,,
35115.0,0|12517|1274686,,
20730.0,0|12554|1247440,,
7442.0,0|12739,,
11411.0,0|12739,,
7609.0,0|12739|1225457,,
40792.0,0|12739|1244852,,
19478.0,0|12739|1247440,,
17024.0,0|12739|1263198,,
12560.0,0|12739|1264369,,
12653.0,0|12739|1264371,,
13637.0,0|12739|1264385,,
15483.0,0|12739|1266104,,
16662.0,0|12739|1266115,,
19387.0,0|12739|1266143,,
19454.0,0|12739|1266145,,
19968.0,0|12739|1266151,,
20533.0,0|12739|1266156,,
23303.0,0|12739|1266188,,
29769.0,0|12739|1271154,,
65639.0,0|12739|1272135,,
31849.0,0|12739|1273056,,
32064.0,0|12739|1273064,,
32144.0,0|12739|1273070,,
35545.0,0|12739|1273119,,
35546.0,0|12739|1273120,,
40701.0,0|12739|1278459,,
2069349.0,0|12739|1291020,,
2072756.0,0|12739|1294626,,
7610.0,0|12776|1223971,,
7537.0,0|12776|1225457,,
7535.0,0|12826|1225457,,
19481.0,0|12826|1247440,,
23569.0,0|12826|1263198,,
22991.0,0|12826|1263794,,
20879.0,0|12826|1269015,,
10132.0,0|12849,,
9558.0,0|12849,,
8471.0,0|12849,,
7922.0,0|12849,,
7728.0,0|12849,,
15703.0,0|12849|1211600,,
24448.0,0|12849|1224590,,
18630.0,0|12849|1247440,,
9726.0,0|12849|1262606,,
10075.0,0|12849|1262609,,
15701.0,0|12849|1263198,,
11096.0,0|12849|1263551,,
26664.0,0|12849|1263794,,
11571.0,0|12849|1264359,,
11841.0,0|12849|1264363,,
12654.0,0|12849|1264371,,
12980.0,0|12849|1264377,,
13096.0,0|12849|1264378,,
14119.0,0|12849|1264395,,
15485.0,0|12849|1266104,,
15710.0,0|12849|1266107,,
15711.0,0|12849|1266108,,
16031.0,0|12849|1266113,,
18042.0,0|12849|1266127,,
18043.0,0|12849|1266128,,
18046.0,0|12849|1266129,,
18049.0,0|12849|1266130,,
18666.0,0|12849|1266135,,
21435.0,0|12849|1266168,,
21437.0,0|12849|1266169,,
21438.0,0|12849|1266170,,
22551.0,0|12849|1266179,,
26195.0,0|12849|1266195,,
26196.0,0|12849|1266196,,
31474.0,0|12849|1266203,,
20461.0,0|12849|1268723,,
24952.0,0|12849|1269750,,
2068122.0,0|12849|1270394,,
32619.0,0|12849|1273075,,
32620.0,0|12849|1273076,,
32621.0,0|12849|1273077,,
34052.0,0|12849|1273092,,
34502.0,0|12849|1273099,,
35116.0,0|12849|1273114,,
35235.0,0|12849|1273116,,
35549.0,0|12849|1273278,,
2071753.0,0|12849|1275496,,
2068755.0,0|12849|1290510,,
2069901.0,0|12849|1291020,,
10410.0,0|13003,,
7899.0,0|13003|1223971,,
17940.0,0|13003|1229622,,
