kristal_id,asset_id
14938,1294303
14784,1294154
15164,1294513
5101,1281128
13861,1290911
12879,1289178
15359,1294723
12944,1289332
12529,1288944
5090,1275447
5781,1281380
3644,1277864
1874,
1519,
16417,1296070
2176,
17640,26479
2051,
22755,1298058
18137,1296523
3395,1276057
3690,1278295
2173,
14248,1293576
2228,1226040
15550,1294942
13529,1290501
1425,
2363,
2403,
13540,1290517
2575,
1802,
1212,
1180,
13508,1290445
3495,1276931
14385,1293763
1048,
51,
1685,
2430,
13012,1289435
18762,1296599
17576,1296458
15429,1294789
16226,1295818
5099,1281126
16548,1296272
18167,1296528
2405,
1429,
2354,
16555,1296283
2576,
3378,1276050
1784,
1580,
5012,1275447
494,
15803,1295160
13931,1293257
14850,1294213
1731,
1748,
3624,1277692
12945,1289333
6085,1282137
577,
1041,
1903,
8454,1284447
27,
71,
1240,
21962,1297513
13908,50963
21963,1297514
14891,1294250
4466,1280062
3515,1277090
2328,
12527,1288942
13859,26870
12683,1289062
6083,114740
158,
603,
157,
6089,1282137
13142,1228762
25,
14732,1294108
2615,
13836,1290933
12789,1289182
599,
15031,1294380
64,
136,
156,
1828,
16418,1296071
543,
14362,1293743
16556,1296284
24008,1298726
14383,1293746
12787,1289179
18763,1296600
7398,1283655
14211,1293576
18764,1296601
14116,1293373
3109,1273413
14214,1293587
14965,1294323
1679,
13262,1289783
16502,1296163
1849,
13723,1290803
15961,1295508
3443,1276380
624,
15088,1294421
3513,1276784
13020,1289440
14964,1294322
14896,1294255
555,
14926,1294289
9279,1285007
2159,
1046,
4467,1280060
1952,
13678,1290741
1872,
14050,1293396
452,
1683,
18201,1296530
5550,1281346
1593,
14337,1293722
2664,
2132,
14139,1293490
1962,
3414,1276218
3448,1276386
16351,1295986
5385,1281476
16344,1295981
22688,1298016
3496,1276933
19322,1296783
14005,1293357
25230,1300155
14527,1293920
2970,1266176
14453,1293840
1189,
14982,1294342
24044,1298730
18038,1296513
18299,1296540
2194,
17016,1296393
14001,
2414,
13242,1217468
3649,672877
6312,1282468
3446,1276385
1821,
2723,
3490,1276783
2041,
1829,
2419,
2406,
14859,89655
3699,1278331
2593,
1521,
1890,
1730,
2349,
2364,
2031,
1909,
2225,
13909,1291037
14919,1294285
13858,1281641
1470,
130,
3336,1275560
1498,
2324,
5015,1280984
2471,
2404,
13963,1293314
2209,1224664
2514,1262589
1705,
2378,
2591,
3522,1277137
1540,
2703,
2398,
2072,
2168,
16046,1295603
15964,1295511
2624,1262608
1188,
2018,
12908,1289264
2451,
1732,
2286,
1736,
18696,1296596
2014,
1454,
2081,
2142,
545,
2149,
1944,
15077,1294429
2166,
2588,
1627,
2577,
1716,
14271,1293659
1804,
5585,1281774
2410,
1027,
2087,
17017,1296394
2393,
2084,
1689,
1667,
6091,1282136
2323,
5097,1280971
2222,
1807,
1584,
5098,1280971
13912,79635
2098,
16610,1296338
2299,
14792,1294159
63,
1512,
181,
1511,
2332,
16379,1296004
2438,
2082,
2158,
1037,
1510,
2338,
17243,1296424
2345,
2288,1211449
1601,
15965,1295512
2585,
1635,
1680,
1638,
2433,
2447,
2295,
1747,
2515,1262590
2260,1229622
2298,
13683,1290744
3343,1275712
467,
3027,
3028,
3026,
1237,
1241,
2201,1223970
3168,
3319,1275495
13879,1290980
3239,1274686
3667,1278264
2563,
2017,
3089,
14051,1293397
14991,1294351
503,
502,
3217,1211449
3166,
3070,
13,
1134,
2580,
2400,
2182,1222024
2136,
3184,1274011
2293,
2138,
2477,
2297,
1894,
53,
14246,1293642
483,
2582,
1695,
2519,1296544
2372,
2381,
2584,
3360,1275833
1655,
1682,
16568,1296290
2479,
25231,1300156
1524,
2339,
1631,
15966,1295513
1453,
2334,
2496,
3300,
4559,474174
2565,
1557,
2688,1264364
183,
1042,
2589,
2135,
15069,1294420
40,
2141,
2034,
2562,
2590,
2368,1250054
1674,
5013,1280970
12786,1289178
8453,1284446
1581,
1764,
2458,
2566,
2254,
1560,
121,
2417,
1045,
2115,
1487,
2494,
15595,1294980
2452,
2219,
2472,
1533,
11588,
8486,1284479
3639,1277853
2337,
11722,1287846
2234,
2134,
159,
1770,
12784,1289099
2625,1262608
1717,
24307,1298900
2230,
2302,
1745,
16381,1296006
1475,
567,
1481,
1797,
1772,
5120,1281179
14324,1293650
3627,1277839
14332,1293719
2309,1241155
1582,
1893,
2160,
1773,
3345,1275759
2567,
16250,1295861
54,
6051,1282136
607,
1735,
14310,1293696
2119,
11926,
14272,1293660
1525,
2437,
13875,1290977
15386,1294744
22097,1297604
14028,1293375
3473,
482,
120,
14897,1294256
1737,
1868,
2124,
16615,1296342
3673,1275556
13310,1290043
1823,
12282,1288604
2304,
2068,
41,
13568,1290554
2114,
59,
1729,
16352,1295987
2009,
58,
18497,1296553
129,
55,
1786,
2493,
23024,1298143
2467,1257770
2492,
2049,
1734,
2153,
1838,
1069,
2352,
1047,
1038,
1538,
25232,1300157
3099,1273063
1663,
1780,
1072,
2190,
2074,
2256,1228492
5003,
2102,
14969,1294330
2078,
2193,
2501,
2016,
2064,
2224,
3833,1279001
2238,1226571
2691,1264367
1739,
2259,
1133,
113,
93,
2263,
2362,1249118
2502,
374,
1678,
3437,1276377
2218,
5006,1280973
2305,
2315,1241567
1583,
1659,
2216,1225459
1527,
13680,1290738
13898,28815
1447,
1034,
13144,28399
1192,
3120,1273074
1513,
1387,
14774,1294147
3497,1276934
1554,
644,
1463,
3390,1276058
3342,1275711
1207,
522,
1424,
14135,1293489
16509,1296178
1803,
1071,
1204,
1187,
3657,1278110
1208,
1194,
135,
3175,1273094
1209,
565,
3203,1273106
22131,1297609
2301,
12646,1289041
1977,
1445,
1452,
17507,1296449
1216,
1178,
1444,
1426,
137,
1202,
13886,26287
3635,1277850
1262,
1450,
1664,
1472,
1215,
1687,
1203,
3487,1276783
584,
1702,
1213,
618,
2023,
1517,
4361,1279925
1532,
492,
16488,1296150
13583,1290578
11927,
493,
495,
15,
13973,1293328
1201,
16485,1296147
576,
1197,
13339,1290090
1196,
506,
1420,
1190,
108,
2604,1262605
15205,1294560
11929,
1480,
1399,
1442,
551,
1483,
13071,
1191,
546,
13853,1290960
1439,
14363,1293744
1446,
1451,
1858,
1758,
1837,
481,
1808,
7299,1283258
632,
3275,1273124
1205,
2012,
1198,
17375,1296438
1817,
4163,1279496
98,
586,
15075,1294428
1214,
1859,
13404,1290234
14174,1293544
2059,
1440,
13860,1290512
12909,1289265
1473,
573,
3320,
15337,
3655,1277886
1675,
582,
11930,
1474,
1431,
1518,
1435,
18728,1296597
473,
17309,1296427
3107,1273405
3386,1276055
1467,
1592,
1508,
13615,1290621
14252,1293647
43,
1070,
1490,
1491,
7958,
1692,
109,
1514,
1669,
1721,
1456,
532,
15476,1294840
3640,1277854
2750,4631
2010,
4495,1280091
1459,
3767,1278506
6177,27686
14107,1293459
16353,1295988
18761,1296598
14397,1293780
1809,
1493,
2596,1262604
1492,
16510,1296179
1565,
643,
1469,
566,
2015,
14929,1294294
1476,
15779,1295138
1967,
1477,
18101,1296519
1179,
1703,
16155,
3152,1273413
1984,
1615,
507,
1383,
1252,
1757,
2013,
1471,
1793,
1650,
1281,
1651,
1897,
6053,
1465,
14936,1294301
1589,
1708,
1495,
1688,
1743,
124,
2181,1222023
14781,1294154
1947,
46,
1384,
1590,
3142,1273785
3875,488074
1523,
3768,1278114
571,
457,
1551,
1406,
600,
533,
1035,
453,
554,
1759,
1602,
17376,1296439
1760,
2555,1262598
1436,
22226,1297649
38,
1423,
25233,1300158
1948,
572,
13133,1289640
1386,
592,
1624,
1536,
1701,
1032,
1951,
16449,1296113
1641,
1528,
1437,
1564,
1529,
49,
1628,
24,
1938,
558,
3652,1277878
1709,
19388,1296802
2183,1222750
39,
629,
1421,
1677,
147,
1698,
13139,26638
1549,
6,
1939,
25168,1296479
1740,
26,
1535,
14145,1293497
3284,1275103
133,
1558,
14557,1293940
21864,133960
1672,
3650,1277851
620,
86,
1994,
2073,
22988,1298191
1640,
61,
9,
1750,
4757,1279925
1575,
6079,
22,
97,
2486,1257771
1464,
15082,1294429
14849,1294195
1995,
68,
2038,
11932,
3669,1278135
1796,
1530,
3317,1275494
608,
1907,
471,
1642,
575,
1570,
17540,1296454
12914,1289240
674,
102,
19852,1296886
13885,1291002
530,
115,
87,
134,
13989,1293338
2206,1224588
2517,1262592
557,
514,
518,
574,
14454,1293841
4,
140,
13677,1290740
619,
123,
13962,1293313
13349,1290111
2117,
1489,
627,
1643,
16490,1296151
15994,1295540
95,
1963,
2556,1262599
1448,
472,
525,
630,
1644,
2056,
1673,
15081,1294428
8,
3447,1276050
15041,1294382
1030,
2060,
1600,
16422,1296077
24380,1298981
21106,1297172
896,
1588,
3691,1278294
1645,
588,
2057,
633,
1925,
446,
1537,
2058,
590,
117,
65,
132,
559,
16423,1296078
14904,1294270
3521,1277136
1950,
489,
160,
539,
465,
497,
15007,1294367
1733,
83,
1707,
2104,1211250
2055,
536,
604,
14263,1293650
21698,1297345
6110,1282235
16506,1296175
498,
22952,1298187
3471,1276579
598,
21105,1297171
519,
15479,1294843
125,
1621,
154,
19025,1296673
13820,1290910
1036,
21435,1297271
3155,1274011
512,
126,
612,
2175,
529,
535,
2061,
142,
4996,1280967
162,
531,
540,
155,
6477,1281674
13145,28843
138,
521,
1195,
20709,1297069
524,
616,
1616,
1629,
14002,1293354
2171,133984
11,
144,
1039,
2020,
2267,1226572
491,
520,
25234,1300159
2053,
517,
14971,1294332
150,
528,
1648,
11933,
1706,
145,
149,
2157,
628,
568,
148,
617,
508,
537,
3421,1275831
656,
475,
1236,
92,
615,
634,
635,
127,
3283,1275100
3682,1278282
99,
1814,
1541,
484,
14343,1293729
2022,
538,
485,
547,
2491,1257772
602,
14341,
442,
639,
1044,
16333,1295966
609,
523,
526,
553,
501,
605,
593,
2202,1223969
14879,1294244
170,
480,
1573,
614,
15967,1295515
48,
441,
570,
31,
6869,1283126
7071,1283259
636,
2639,1263545
637,
2251,
75,
477,
14613,1293973
638,
626,
1509,
476,
2054,
589,
464,
479,
2093,
10,
5,
116,
73,
101,
3,
45,
6077,
19091,1296700
3507,1277088
47,
72,
7,
2062,
20711,1297071
44,
171,
4992,1280964
2466,
76,
2684,1264360
12,
35,
67,
2025,
69,
490,
28,
461,
17408,1296442
20747,
110,
74,
104,
17608,1296461
14,
2162,
78,
169,
1765,
60,
11555,
1619,
161,
23018,1298192
66,
1668,
1595,
70,
17,
448,
1691,
1617,
17609,1296462
20750,
13640,1290673
88,
2067,
486,
487,
488,
642,
1594,
3871,
460,
658,
774,
445,
2008,
583,
443,
2096,
444,
11934,
1656,
1928,
1824,
1676,
776,
621,
622,
455,
459,
456,
111,
447,
1791,
2075,
585,
1832,
2243,
1690,
1671,
1618,
2189,
1681,
1842,
1843,
1841,
1851,
1752,
1846,
2024,
1783,
2191,
2063,
2192,
2108,
1710,
2091,
1756,
1801,
1449,
1949,
85,
1699,
2226,
15782,1295141
1910,
2019,
1749,
3312,1275323
1831,
2643,
1771,
14877,1294244
1917,
2065,
1959,
1827,
77,
179,
153,
18,
143,
1634,
56,
2118,
1989,
42,
1965,
1789,
131,
2066,
84,
2026,
2139,
1913,
1438,
180,
1751,
172,
1826,
128,
1825,
1775,
1920,
1577,
1738,
1661,
1660,
1649,
1579,
1754,
1544,
2770,1266797
3677,1278281
1715,
1662,
1718,
1902,
2052,
1646,
1578,
1966,
1587,
1497,
91,
81,
1714,
1767,
2498,
2379,
2103,
2434,
2495,
2210,
2180,
2307,
1798,
2048,
2335,
15598,29145
2261,
2336,
2351,
2095,
14881,1294241
14487,1293872
3252,1274903
2635,1263543
2070,
7827,
2790,1267201
2116,
2658,1263553
3073,
2675,1263556
2678,1264358
2509,
2654,1263550
3479,1276730
3061,
3218,1274688
3186,1273101
1742,
3642,
3251,1274902
1931,
2029,
3076,
118,
1906,
2459,
1904,
17610,1296463
1905,
2306,
2761,1266548
3167,
3303,1275314
2462,
2992,1270400
2207,1224587
2893,1269363
2923,1269350
2901,1269346
3332,1275557
11159,
11192,
3604,1277353
2891,
6049,1282141
2979,
3872,
3873,
3874,
13172,1289656
11723,
2699,
11724,
11725,
11920,
3064,
11726,
2266,1222024
10664,
9641,
19256,1296749
9608,
2735,
2511,
11918,
13947,133661
2490,
2389,
2782,
13396,1290218
2461,
2510,
2760,
2832,
2839,
2833,
2508,
2641,
2642,
2695,
