transaction_id,goal_id,kristal_id,asset_id
496527.0,172181.0,2560.0,1263198.0
496523.0,172177.0,2560.0,1263198.0
632529.0,2301238.0,2988.0,1270394.0
755295.0,3086543.0,2205.0,1224590.0
587751.0,253721.0,2205.0,1224590.0
712046.0,3080734.0,2880.0,1269016.0
646230.0,2484498.0,3321.0,1275496.0
632558.0,2301366.0,2988.0,1270394.0
632553.0,2301361.0,2988.0,1270394.0
632566.0,2301375.0,2988.0,1270394.0
632530.0,2301239.0,2988.0,1270394.0
632570.0,2301380.0,2988.0,1270394.0
632533.0,2301242.0,2988.0,1270394.0
632548.0,2301257.0,2988.0,1270394.0
632535.0,2301244.0,2988.0,1270394.0
632538.0,2301247.0,2988.0,1270394.0
632565.0,2301374.0,2988.0,1270394.0
632560.0,2301368.0,2988.0,1270394.0
632545.0,2301254.0,2988.0,1270394.0
632532.0,2301241.0,2988.0,1270394.0
632531.0,2301240.0,2988.0,1270394.0
632527.0,2301236.0,2988.0,1270394.0
632552.0,2301360.0,2988.0,1270394.0
635496.0,3073963.0,2988.0,1270394.0
632546.0,2301255.0,2988.0,1270394.0
764490.0,3088070.0,2988.0,1270394.0
764868.0,3088224.0,2988.0,1270394.0
632549.0,2301258.0,2988.0,1270394.0
632541.0,2301250.0,2988.0,1270394.0
632554.0,2301362.0,2988.0,1270394.0
632563.0,2301371.0,2988.0,1270394.0
632572.0,2301382.0,2988.0,1270394.0
633071.0,2303314.0,2988.0,1270394.0
632562.0,2301370.0,2988.0,1270394.0
632542.0,2301251.0,2988.0,1270394.0
632543.0,2301252.0,2988.0,1270394.0
632536.0,2301245.0,2988.0,1270394.0
632564.0,2301373.0,2988.0,1270394.0
632556.0,2301363.0,2988.0,1270394.0
632555.0,2301364.0,2988.0,1270394.0
632547.0,2301256.0,2988.0,1270394.0
632539.0,2301248.0,2988.0,1270394.0
496529.0,172183.0,2560.0,1263198.0
496531.0,172185.0,2560.0,1263198.0
632544.0,2301253.0,2988.0,1270394.0
632568.0,2301378.0,2988.0,1270394.0
632534.0,2301243.0,2988.0,1270394.0
632528.0,2301237.0,2988.0,1270394.0
632557.0,2301365.0,2988.0,1270394.0
632573.0,2301383.0,2988.0,1270394.0
632561.0,2301369.0,2988.0,1270394.0
